Organization,Phone,Email,Website,Address,Hours,Serves
Online Food Resource Guide,,,,,,Serves Everyone
Greenville County Human Relations,(864) 467-7095,YDuckett@greenvillecounty.org,greenvillecounty.org/HumanRelations/,"301 University Ridge, Suite S-4200, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Non-Binary; Substance Use; LGBTQ+; Transgender; Serves Everyone"
Infinite Possibilities Inc.,(864) 209-1869,info@infinitepossinc.org,infinitepossinc.org,"701 Easley Bridge Rd, Ste 6070, Bldg 6000, The Warehouse",,"Man; Woman; Domestic Violence; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Spanish Speaking; Transgender"
Upstate Warrior Solution,(864) 520-2073,,uws.us,"770 Pelham Road, Greenville, SC 29615",,Veteran
Upstate Food Not Bombs,,upstatefoodnotbombs@prontomail.com,facebook.com/UpstateFoodNotBombs,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Spanish Speaking; Transgender; Serves Everyone"
Upstate Circle of Friends,(864) 277-5788,unityhealthSC@outlook.com,ucfgreenville.org,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Spanish Speaking; Youth 18-24 Without Parent/Guardian; Transgender"
Unity Health on Main,(864) 232-2734,,,"505C North Main St, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Transgender; Serves Everyone"
United Ministries - Crisis Assistance,(864) 232-6463,info@united-ministries.org,united-ministries.org/crisis-assistance/,"606 Pendleton Street, Greenville, SC 29601 (by appointment)",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Transgender"
United Ministries - Family Housing Program,(864) 271-3424,info@united-ministries.org,united-ministries.org/homeless-services/housing/,,,"Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households)"
United Housing Connections,(864) 241-0462,info@uhcsc.org,unitedhousingconnections.org,"135 Edinburgh Ct, Suite 201, Greenville, SC 29607",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Transgender"
Triune Mercy Center,(864) 233-8020,,,"222 Rutherford St, Greenville, SC 29609",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
The Salvation Army of Greenville,(864) 235-4803,website@salvationarmycarolinas.org,southernusa.salvationarmy.org/greenvillesc/,"417 Rutherford St., Greenville, SC 29609",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Transgender"
The Phoenix Center,(864) 467-3790,,phoenixcenter.org,"1400 Cleveland St, Greenville, SC 29607",,"Substance Use; Woman; Man; Youth 18-24 Without Parent/Guardian"
Taylors Free Medical Clinic,(864) 244-1134,,,"400 W. Main St, Taylors, SC 29687",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; Re-entry/Previously Incarcerated; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households)"
Sunday Dinner with a Twist,(864) 380-5336,jm578089@gmail.com,,,,"Man; Woman"
Step By Step Hope Ministry,(864) 315-3730,,,,"Mon-Thu 8:30am-5:30pm; Fri 8:30am-1:30pm","Woman; Family (Mother + Children)"
St. Anthony's of Padua Catholic Church,(864) 233-7717,,,"204 Douthit St, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
St. Andrew's Episcopal Church,(864) 235-5884,,,"1002 South Main Street, Greenville, SC 29601",Breakfast Saturdays 7:30-8:30am,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Soteria Community Development Corporation,(864) 272-0681,info@soteriacdc.org,soteriacdc.org,,,"Man; Woman; Re-entry/Previously Incarcerated"
Shepherds Gate - Miracle Hill Ministries,(864) 268-5589,receptionist@miraclehill.org,miraclehill.org/shelters/shepherds-gate/,,,"Woman; Domestic Violence; Family (Mother + Children); Senior"
SHARE,(864) 269-0700,,sharesc.org,"254 S. Pleasantburg Drive, Greenville, SC 29607",,"Man; Woman; Family (Mother + Children); Family (Father + Children); Family (2 Adults + Children); Family (Multigenerational Households)"
South Carolina Legal Services,Intake/LATIS: 1-888-346-5592; Local: (864) 679-3232,,sclegal.org,,,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
SC Thrive,800-726-8774,,scthrive.org,,Mon-Fri 8:30am-5:00pm,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Safe Harbor,1-800-291-2139,info@safeharborsc.org,safeharborsc.org,,,"Man; Woman; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (Father + Children); Family (Multigenerational Households); Family (2 Adults + Children); Re-entry/Previously Incarcerated; Family (Mother + Children); Youth 18-24 Without Parent/Guardian; Spanish Speaking; Transgender"
Time Served,(864) 546-5060,info@tsscnow.org,tsscnow.org,"3rd floor of Triune Mercy Center, 222 Rutherford St., Greenville, SC 29609",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Renewal Center for Women - Miracle Hill Ministries,(864) 242-2166,receptionist@miraclehill.org,miraclehill.org/shelters/renewal-for-women/,,,Woman
Project Host,,,projecthost.org/soup-kitchen,"525 S Academy Street, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Project Care Inc.,(864) 467-0102,,projectcaresc.org,,,"Man; Woman; Veteran; Senior; AIDS/HIV; Transgender"
Place of Hope Day Shelter - United Ministries,(864) 232-6463,info@united-ministries.org,united-ministries.org/homeless-services/place-of-hope/,"600 Pendleton Street, Greenville, SC 29601",,"Man; Woman; Couple; Veteran; Senior; Domestic Violence; No Photo ID; AIDS/HIV; Non-Binary; Substance Use; LGBTQ+; Family (2 Adults + Children); Family (Father + Children); Family (Mother + Children); Family (Multigenerational Households); Re-entry/Previously Incarcerated; Youth 18-24 Without Parent/Guardian; Transgender; Serves Everyone"
Pendleton Place - Emergency Youth Shelter,(864) 551-0751,EYSPlacement@pendletonplace.onmicrosoft.com,pendletonplace.org/what-we-do/emergency-youth-shelter/,,,"Man; Woman; Couple; Veteran; Domestic Violence; Youth 18-24 Without Parent/Guardian; Transgender"
